AKAZE_AKAZE_MAT_FLANN,BRISK_BRIEF_MAT_FLANN,BRISK_BRISK_MAT_BF,BRISK_BRISK_MAT_FLANN,FAST_BRISK_MAT_BF,FAST_FREAK_MAT_BF,ORB_ORB_MAT_BF,ORB_ORB_MAT_FLANN,ORB_FREAK_MAT_FLANN,SHITOMASI_BRIEF_MAT_BF,SHITOMASI_BRISK_MAT_BF,SIFT_SIFT_MAT_FLANN
126,114,140,117,77,73,61,37,34,112,94,81
128,125,143,120,82,76,68,52,32,111,88,80
124,111,122,118,80,72,70,46,39,102,78,82
116,114,141,118,83,81,83,50,39,100,87,92
121,112,135,111,64,65,88,53,32,99,83,91
131,127,153,123,85,79,96,64,40,99,78,82
139,123,137,109,78,75,93,67,43,98,83,82
137,121,132,114,75,75,88,62,38,108,86,101
143,115,153,130,80,82,82,68,41,99,79,102
