AKAZE_AKAZE_MAT_FLANN,BRISK_BRIEF_MAT_FLANN,BRISK_BRISK_MAT_BF,BRISK_BRISK_MAT_FLANN,FAST_BRISK_MAT_BF,FAST_FREAK_MAT_BF,ORB_ORB_MAT_BF,ORB_ORB_MAT_FLANN,ORB_FREAK_MAT_FLANN,SHITOMASI_BRIEF_MAT_BF,SHITOMASI_BRISK_MAT_BF,SIFT_SIFT_MAT_FLANN
94.0217,55.0316,78.2669,81.2098,40.5471,42.0845,17.5246,23.3558,50.7089,15.2543,50.433,108.649
100.323,57.6007,78.1945,92.4556,39.0254,37.2889,15.5488,18.952,42.0695,16.7947,42.1385,111.977
110.128,59.0837,76.9674,96.9215,39.1362,36.8391,14.2544,17.7526,41.9411,15.329,39.7836,123.859
102.7,65.3738,82.4307,98.8888,35.9403,39.859,16.7469,16.8325,41.5457,15.108,39.895,123.185
89.1844,63.9415,80.7898,98.8203,31.3627,37.909,15.9827,16.1237,40.7049,15.0059,40.6678,111.155
80.9648,55.3244,83.5901,104.101,31.5256,38.3251,17.1645,17.0157,41.631,16.6386,39.6065,138.657
84.5729,59.7565,98.5557,102.732,30.8653,37.4206,18.6614,16.6765,42.3665,16.1345,39.3273,120.946
88.8008,63.3178,91.3749,86.9227,31.7146,37.802,18.3617,22.0598,44.6246,14.7513,39.1864,118.038
94.4091,69.5222,77.6874,80.3014,31.1093,37.5083,17.1293,15.9076,59.2427,14.8841,39.5888,117.054
